id	name	rarity	description	requirements	effects
179	One of your Melqarts has realized the po	0	One of your Melqarts has realized the power inherent in the blood of his brethren. Inviting a Ba'al to a grisly banquet, he slew his guest and feasted upon his heart to gain power.	rare 5|unique 1|turn 15|monster Ba'al|land 1|monster Melqart	nation -2|killcom Ba'al|bloodboost Melqart
180	One of your Zamzummim and an Adon have o	0	One of your Zamzummim and an Adon have organized a great banquet for Ditan, greatest of the deified Rephaite Lords. By sacrificing himself at the feast, the Zamzummite has traded life for life and passed into Sheol, allowing Ditan and his assembly to manifest in the world of the living.	rare 4|unique 1|turn 25|monster Zamzummite|land 1|monster Adon|dominion 8|r22 2046	nation -2|killcom Zamzummite|1com Malik|1d6units Ditanu
181	One of your eunuchs has miraculously fat	0	One of your eunuchs has miraculously fathered a child. Faith in your healing powers has increased.	rare 2|land 1|monster Eunuch	incdom 3
182	One of your Ceremonial Masters has inter	-1	One of your Ceremonial Masters has interpreted the ceremonial calendar of the Ministry.	land 1|monster Ceremonial Master|pop 500|order 1	gold 250
183	One of your Ministers has interpreted th	-1	One of your Ministers has interpreted the signs and made a remarkably accurate calendar for the province.	land 1|monster Minister of Rituals|pop 500|order 1	gold 500
184	One of your Ministers has interpreted th	-1	One of your Ministers has interpreted the signs and made a remarkably accurate calendar for the province.	land 1|monster Minister of Rituals|pop 100|order 1	gold 250
185	One of your Ministers has interpreted th	-1	One of your Ministers has interpreted the signs and made a remarkably accurate calendar for the province. Order was brought to the troubled province.	land 1|monster Minister of Rituals|chaos 1	unrest -25|decscale3 Turmoil
186	Farbaute has organized a great drinking 	-1	Farbaute has organized a great drinking contest and champions from near and far are gathering to show off.	land 1|monster Einhere|turn 10|luck 1	nation -2|2d6units Einhere|4d6units Hirdman
187	A handful of black onis were molesting a	-1	A handful of black onis were molesting a group of red onis and refused to stop. Not until Tsunekage slew one of the black onis and ate his heart did they stop. Another group of red onis witnessed the event and joined your army.	monster Devourer of Demons|chaos 1|monster Aka-Oni|monster Kuro-Oni|land 1	nation -2|killmon Kuro-Oni|2d6units Aka-Oni
188	Daidalos, the great inventor, Maker of t	-1	Daidalos, the great inventor, Maker of the Maze, has unveiled his latest masterpiece, an army of mechanical servants. A clever engineer quickly found a use for the servants and placed armaments in their hands.	land 1|monster Maker of the Maze|unique 1	nation -2|2d6units Mechanical Man
189	The Mother of Monsters has given birth.	-1	The Mother of Monsters has given birth.	land 1|monster Mother of Monsters|turn 10|growth 2	nation -2|2d6units Lamia
190	Angerboda, the Great Hag, mother of mons	-1	Angerboda, the Great Hag, mother of monsters, has given birth to a great serpent of exceptional cunning.	land 1|monster Great Hag|unique 1	nation -2|1com Horned Serpent
191	Angerboda, the Great Hag, mother of mons	-1	Angerboda, the Great Hag, mother of monsters, has given birth to a great wolf of exceptional cunning.	land 1|monster Great Hag|unique 1	nation -2|1com Jotun Wolf
192	Klaus has convinced the Emperor of Pythi	-1	Klaus has convinced the Emperor of Pythium that he needs further funding to conquer the Underworld. The Emerald Emperor sent a Pythian legion and a chest filled with gold to strengthen the human position in the Underworld.	land 1|monster Mason of the Underworld|turn 10|luck 1	nation -2|6d6units Hastatus|1com Centurion|gold 400
193	In her misery and solitude, Delgnat, the	-1	In her misery and solitude, Delgnat, the last Partholonian, has reenacted the last battle of Sera, her father. Some of the corpses reanimated for the charade were not destroyed and have been put to other use.	unique 1|land 1|monster Last Partholonian|turn 10|death 1	nation -2|3d6units Longdead Partholonian|4d6units Longdead Horseman|6d6units Soulless
194	A brigand leader and his followers have 	-1	A brigand leader and his followers have been rounded up and delivered to one of your bailiffs by a striking woman astride a unicorn. Peasants are now able to toil the land again.	land 1|r22 381|minunrest 10|national 37	unrest -25
195	One of your Knights of the Stone has emb	-1	One of your Knights of the Stone has embarked upon a quest and returned with enchanted treasure.	land 1|monster Knight of the Stone	magicitem 1|magicitem 2
196	One of your Knights of the Stone has emb	-1	One of your Knights of the Stone has embarked upon a quest. In a deep forest he met an enchantress of great power, fell in love with her and wooed her for a month. Being quite lonely, she grew fond of him and accepted his offer of marriage.	unique 1|land 1|monster Knight of the Stone	nation -2|1com Enchantress
197	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 69|unluck -1	nation -2|10d6units Ashigaru
198	Your troubled province has been terroriz	-1	Your troubled province has been terrorized by a group of renegade ronin. Fortunately an influential and wise kannushi convinced the bandits to quit the meaningless slaughter and fight where there is honor.	dominion 2|chaos 1|land 1|fullowner 69	nation -2|4d6units Ronin
199	Rumors of your might have swept the prov	-1	Rumors of your might have swept the province and a group of loud-mouthed bakemono-sho praising your greatness has joined your armies.	dominion 2|land 1|fullowner 54	nation -2|16d6units Bakemono-Sho
200	Rumors of your might have swept the prov	-1	Rumors of your might have swept the province and a group of loud-mouthed bakemono-sho praising your greatness has joined your armies.	dominion 2|land 1|fullowner 27	nation -2|16d6units Bakemono-Sho
201	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of warriors committed to your cause has joined your armies.	dominion 2|land 1|fullowner 43	nation -2|12d6units Machaka Warrior
202	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of villagers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 43	nation -2|16d6units Machaka Militia
203	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 5	nation -2|10d6units Cardaces
204	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 33	nation -2|10d6units Cardaces
205	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 60	nation -2|10d6units Cardaces
206	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 67	nation -2|10d6units Footman
207	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 10	nation -2|10d6units Footman
208	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 42	nation -2|10d6units Footman
209	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 15	nation -2|16d6units Militia
210	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 73	nation -2|16d6units Militia
211	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of lowborn soldiers committed to your cause has joined your armies.	dominion 2|land 1|fullowner 47	nation -2|16d6units Militia
212	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of satyrs committed to your cause has joined your armies.	dominion 2|land 1|fullowner 48|forest 1	nation -2|12d6units Satyr
213	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of satyrs committed to your cause has joined your armies.	dominion 2|land 1|fullowner 16|forest 1	nation -2|12d6units Satyr
214	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of satyrs committed to your cause has joined your armies.	dominion 2|land 1|fullowner 74|forest 1	nation -2|12d6units Satyr
215	Naked people have been seen dancing and 	-1	Naked people have been seen dancing and singing in the woods. This was seen as a good omen and faith has increased.	dominion 1|forest 1|fullowner 48	incdom 3
216	Naked people have been seen dancing and 	-1	Naked people have been seen dancing and singing in the woods. This was seen as a good omen and faith has increased.	dominion 1|forest 1|fullowner 16	incdom 3
217	Naked people have been seen dancing and 	-1	Naked people have been seen dancing and singing in the woods. This was seen as a good omen and faith has increased.	dominion 1|forest 1|fullowner 74	incdom 3
218	Naked people have been seen dancing and 	-1	Naked people have been seen dancing and singing in the woods. This was seen as an ill omen and faith has decreased.	dominion 1|forest 1|notnation 48|notnation 16|notnation 74	incdom -2
219	A wave of religious zeal has swept the p	-1	A wave of religious zeal has swept the province and a group of humanbreds committed to your cause has joined your armies.	dominion 2|land 1|fullowner 71	nation -2|8d6units Abysian Light Infantry
